Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_SMD,1,RaspberryPi_Pico,
"C1, C12, C14, C2, C3, C4",0805,6,4u7F,C1779
"C10, C11, C13, C5, C6, C7, C8, C9",0402,8,100nF,C307331
"C15, C16",0603,2,15pF,C1644
"C17, C18",0603,2,6n8F,C1631
C19,0603,1,10nF,C57112
C20,0603,1,22nF,C1697
C21,1206,1,1nF/2kV,C9196
D1,D_SMA,1,SS14,C2480
J1,SHOU HAN TYPE-C 16PIN 2MD(073),1,USB-C,C2765186
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Battery_Connector,C295747
J3,RJ45_Hanrun_HR911105A_Horizontal,1,RJ45_Hanrun_HR911105A_Horizontal,C12074
"R1, R2",0603,2,5k1,C23186
"R10, R11, R12, R13",0603,4,49R9,C23184
R14,0603,1,10R,C22859
"R15, R16, R3",0603,3,10k,C25804
"R4, R5",0603,2,1k5,C22843
R6,0603,1,12k4,C22865
"R7, R8",0603,2,330R,C23138
R9,0603,1,1M,C22935
S1,SW_MSK12C02,1,MSK12C02,C431540
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,C2861252
U2,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
